Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 2.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
26000	6557
27000	6579
28000	6067
29000	4415
30000	3983
31000	3715
32000	3394
33000	5367
Numero di step eseguiti = 33705
Simulation 30
0	7149
1000	7184
2000	7178
3000	7188
4000	7188
5000	7179
6000	7184
7000	7171
8000	7177
9000	7147
10000	7068
11000	7123
12000	7177
13000	7052
14000	7117
15000	7175
16000	7140
17000	6659
18000	6727
19000	6697
20000	6143
21000	7169
22000	7191
23000	7021
24000	5809
25000	4622
26000	4044
27000	3642
28000	3574
29000	3357
30000	5696
Numero di step eseguiti = 30538
Simulation 31
0	7167
1000	7193
2000	7195
3000	7182
4000	7188
5000	7190
6000	7176
7000	7179
8000	7177
9000	7181
10000	7186
11000	7188
12000	7179
13000	7182
14000	7168
15000	7172
16000	7162
17000	7166
18000	7177
19000	7149
20000	7175
21000	7183
22000	7142
23000	7177
24000	7123
25000	7179
26000	7093
27000	6161
28000	5704
29000	5129
30000	6318
31000	7199
32000	7199
33000	5822
Numero di step eseguiti = 33198
Simulation 32
0	7149
1000	7190
2000	7188
3000	7193
4000	7178
5000	7183
6000	7184
7000	7154
8000	7166
9000	7168
10000	7151
11000	7139
12000	7142
13000	7155
14000	7127
15000	7134
16000	7156
17000	6922
18000	6420
19000	6040
20000	5933
21000	5527
22000	4676
23000	4644
24000	3990
25000	3951
26000	3839
27000	3432
28000	3218
29000	3241
30000	3158
31000	3069
32000	2835
Numero di step eseguiti = 32884
Simulation 33
0	7166
1000	7192
2000	7184
3000	7174
4000	7174
5000	7168
6000	7177
7000	7179
8000	7186
9000	7182
10000	7170
11000	7180
12000	7187
13000	7191
14000	7180
15000	7191
16000	7139
17000	7071
18000	7039
19000	7061
20000	7112
21000	7185
22000	6469
23000	5957
24000	5436
25000	4996
26000	4500
27000	4344
28000	4007
Numero di step eseguiti = 28987
Simulation 34
0	7157
1000	7193
2000	7186
3000	7188
4000	7183
5000	7172
6000	7167
7000	7171
8000	7169
9000	7168
10000	7158
11000	7133
12000	7112
13000	7099
14000	7154
15000	7094
16000	7046
17000	7143
18000	7042
19000	6614
20000	6033
21000	5803
22000	6618
23000	7157
24000	5125
25000	4523
26000	4389
27000	3854
28000	3758
29000	3691
30000	3327
31000	3155
32000	3130
33000	2775
34000	2598
35000	2735
36000	2712
37000	5018
Numero di step eseguiti = 37187
Simulation 35
0	7145
1000	7189
2000	7189
3000	7175
4000	7176
5000	7180
6000	7178
7000	7170
8000	7175
9000	7150
10000	7147
11000	7158
12000	7144
13000	7149
14000	7153
15000	7070
16000	7146
17000	6955
18000	6801
19000	6488
20000	6208
21000	5783
22000	5447
23000	5123
24000	5097
25000	4746
26000	4284
27000	3775
28000	3010
29000	2856
30000	2788
31000	5311
Numero di step eseguiti = 31469
Simulation 36
0	7158
1000	7190
2000	7187
3000	7184
4000	7186
5000	7193
6000	7177
7000	7184
8000	7177
9000	7174
10000	7166
11000	7169
12000	7102
13000	7104
14000	7055
15000	7186
16000	7175
17000	6607
18000	6422
19000	6063
20000	6460
21000	6365
22000	6675
23000	6819
24000	7017
25000	7199
26000	4219
27000	4105
28000	4224
29000	5721
Numero di step eseguiti = 29161
Simulation 37
0	7160
1000	7196
2000	7189
3000	7194
4000	7183
5000	7178
6000	7167
7000	7174
8000	7171
9000	7176
10000	7180
11000	7176
12000	7139
13000	7133
14000	7068
15000	7009
16000	6973
17000	7013
18000	7168
19000	7151
20000	6534
21000	5847
22000	5582
23000	5251
24000	4585
25000	4638
26000	5052
27000	7197
28000	7198
29000	7199
30000	7199
31000	5735
Numero di step eseguiti = 31764
Simulation 38
0	7156
1000	7189
2000	7190
3000	7173
4000	7169
5000	7174
6000	7185
7000	7183
8000	7172
9000	7177
10000	7166
11000	7162
12000	7174
13000	7179
14000	7156
15000	7151
16000	7140
17000	7178
18000	6925
19000	7011
20000	7137
21000	6839
22000	6029
23000	5719
24000	5210
25000	5206
26000	4642
27000	4280
28000	4976
Numero di step eseguiti = 28997
Simulation 39
0	7152
Numero di step eseguiti = 793
Simulation 40
0	7144
1000	7189
2000	7193
3000	7180
4000	7180
5000	7172
6000	7171
7000	7166
8000	7144
9000	7171
10000	7158
11000	7150
12000	7160
13000	7147
14000	7142
15000	7159
16000	6949
17000	6959
18000	6785
19000	6584
20000	6055
21000	6029
22000	5472
23000	5057
24000	4609
25000	4652
26000	4307
27000	4138
28000	3686
29000	3679
30000	3446
31000	3243
32000	4451
Numero di step eseguiti = 32994
Simulation 41
0	7146
1000	7186
2000	7174
3000	7187
4000	7186
5000	7171
6000	7171
7000	7168
8000	7165
9000	7168
10000	7161
11000	7177
12000	7159
13000	7158
14000	7163
15000	7162
16000	7174
17000	7030
18000	6972
19000	7127
20000	7148
21000	6488
22000	6301
23000	6787
24000	5904
25000	5198
26000	4954
27000	4103
Numero di step eseguiti = 27658
Simulation 42
0	7154
1000	7197
2000	7187
3000	7188
4000	7187
5000	7185
6000	7189
7000	7184
8000	7169
9000	7195
10000	7188
11000	7187
12000	7172
13000	7150
14000	7166
15000	6913
16000	7182
17000	7150
18000	6877
19000	6238
20000	5944
21000	5472
22000	5239
23000	4686
24000	4359
25000	4094
26000	4069
27000	3902
28000	3387
29000	3505
30000	5153
Numero di step eseguiti = 30173
Simulation 43
0	7151
1000	7191
2000	7194
3000	7186
4000	7188
5000	7173
6000	7172
7000	7179
8000	7155
9000	7178
10000	7171
11000	7145
12000	7164
13000	7178
14000	7181
15000	7123
16000	7153
17000	7183
18000	6809
19000	6704
20000	5977
21000	6296
22000	5779
23000	5741
24000	6626
25000	7198
26000	4653
27000	4294
28000	7198
29000	7196
30000	3805
31000	3858
32000	3447
33000	3084
34000	3253
35000	3906
36000	5558
Numero di step eseguiti = 36351
Simulation 44
0	7164
1000	7192
2000	7187
3000	7190
4000	7188
5000	7184
6000	7182
7000	7177
8000	7176
9000	7165
10000	7170
11000	7168
12000	7153
13000	7170
14000	7184
15000	7184
16000	7191
17000	7185
18000	6964
19000	6806
20000	6911
21000	6805
22000	6129
23000	6000
24000	5885
25000	5531
26000	4653
27000	4377
28000	6481
Numero di step eseguiti = 28227
Simulation 45
0	7145
1000	7190
2000	7187
3000	7192
4000	7179
5000	7174
6000	7182
7000	7173
8000	7170
9000	7170
10000	7168
11000	7157
12000	7164
13000	7160
14000	7150
15000	7151
16000	7130
17000	7072
18000	7166
19000	6831
20000	6696
21000	6255
22000	5834
23000	5204
24000	4874
25000	4287
26000	4013
27000	4995
28000	4945
Numero di step eseguiti = 28256
Simulation 46
0	7156
1000	7184
2000	7189
3000	7187
4000	7183
5000	7182
6000	7178
7000	7170
8000	7178
9000	7170
10000	7159
11000	7168
12000	7157
13000	7167
14000	7171
15000	7156
16000	7187
17000	7183
18000	7179
19000	7182
20000	7025
21000	6770
22000	6358
23000	6237
24000	7158
25000	5339
26000	4898
27000	4802
28000	4816
29000	4362
30000	4206
31000	4436
32000	7172
Numero di step eseguiti = 32003
Simulation 47
0	7153
1000	7189
2000	7190
3000	7186
4000	7185
5000	7190
6000	7174
7000	7180
8000	7164
9000	7175
10000	7162
11000	7155
12000	7156
13000	7174
14000	7178
15000	7185
16000	7106
17000	7180
18000	7186
19000	7183
20000	7182
21000	7173
22000	6836
23000	7111
24000	6602
25000	6625
26000	5726
27000	5362
28000	4895
29000	4857
30000	4265
31000	3642
32000	7199
33000	7199
34000	4792
35000	3502
36000	2971
37000	3883
38000	7199
Numero di step eseguiti = 38947
Simulation 48
0	7153
1000	7193
2000	7193
3000	7186
4000	7174
5000	7178
6000	7176
7000	7177
8000	7159
9000	7174
10000	7142
11000	7118
12000	7131
13000	7162
14000	7158
15000	7150
16000	7117
17000	7114
18000	7094
19000	6940
20000	6990
21000	6895
22000	6445
23000	5973
24000	5181
25000	6377
26000	4301
27000	5162
Numero di step eseguiti = 27708
Simulation 49
0	7163
1000	7193
2000	7184
3000	7186
4000	7181
5000	7185
6000	7181
7000	7167
8000	7178
9000	7173
10000	7170
11000	7169
12000	7163
13000	7174
14000	7176
15000	7154
16000	7175
17000	7130
18000	7155
19000	6868
20000	6818
21000	6511
22000	5834
23000	5265
24000	5280
25000	5266
26000	7186
27000	7170
28000	4356
29000	3937
30000	3645
31000	3624
32000	3304
33000	3168
34000	3038
35000	2867
36000	3124
37000	2711
Numero di step eseguiti = 37848
Simulation 50
0	7153
1000	7193
2000	7190
3000	7190
4000	7175
5000	7187
6000	7185
7000	7181
8000	7174
9000	7186
10000	7158
11000	7160
12000	7184
13000	7155
14000	7163
15000	7162
16000	7145
17000	7161
18000	7158
19000	7135
20000	7168
21000	7088
22000	7146
23000	7092
24000	6805
25000	5709
26000	5173
27000	5051
28000	4694
29000	3862
30000	6371
Numero di step eseguiti = 30078
Simulation 51
0	7159
1000	7190
2000	7182
3000	7189
4000	7185
5000	7177
6000	7162
7000	7179
8000	7173
9000	7159
10000	7170
11000	7120
12000	7120
13000	7132
14000	7092
15000	7034
16000	7121
17000	7085
18000	7058
19000	6993
20000	6867
21000	6488
22000	5766
23000	5489
24000	4836
25000	4558
26000	4607
27000	4206
28000	4011
29000	5773
30000	7198
31000	7199
32000	7198
Numero di step eseguiti = 32443
Simulation 52
0	7151
1000	7190
2000	7176
3000	7182
4000	7187
5000	7179
6000	7169
7000	7183
8000	7157
9000	7167
10000	7157
11000	7153
12000	7163
13000	7181
14000	7181
15000	7178
16000	7174
17000	7175
18000	7153
19000	7164
20000	7156
21000	7167
22000	7182
23000	7111
24000	7154
25000	6942
26000	6974
27000	6493
28000	6050
29000	5506
30000	5544
31000	5163
32000	7197
33000	7190
34000	7194
35000	5639
36000	4920
Numero di step eseguiti = 36222
Simulation 53
0	7170
1000	7193
2000	7181
3000	7181
4000	7165
5000	7174
6000	7168
7000	7148
8000	7166
9000	7178
10000	7172
11000	7168
12000	7178
13000	7181
14000	7174
15000	7087
16000	7165
17000	7141
18000	7155
19000	6974
20000	7022
21000	7029
22000	5983
23000	5838
24000	5726
25000	5276
26000	4583
27000	4180
28000	4114
29000	3840
30000	3735
31000	4665
32000	6897
Numero di step eseguiti = 32029
Simulation 54
0	7157
1000	7194
2000	7190
3000	7186
4000	7184
5000	7181
6000	7181
7000	7182
8000	7175
9000	7159
10000	7163
11000	7162
12000	7162
13000	7153
14000	7150
15000	6980
16000	6809
17000	6548
18000	7145
19000	7186
20000	6511
21000	6434
22000	7197
23000	7020
24000	6053
25000	4783
26000	4261
27000	3608
28000	3348
29000	3351
30000	3605
31000	3287
32000	2958
33000	2580
34000	2621
35000	2478
36000	2317
37000	2192
38000	2277
39000	5556
Numero di step eseguiti = 39103
Simulation 55
0	7157
1000	7190
2000	7189
3000	7183
4000	7187
5000	7166
6000	7159
7000	7166
8000	7169
9000	7158
10000	7161
11000	7157
12000	7187
13000	7162
14000	7116
15000	7127
16000	7113
17000	7144
18000	7127
19000	6884
20000	6903
21000	6341
22000	5552
23000	5398
24000	5145
25000	4302
26000	4026
27000	3714
28000	3821
29000	3402
30000	6280
Numero di step eseguiti = 30219
Simulation 56
0	7158
1000	7193
2000	7186
3000	7182
4000	7185
5000	7183
6000	7175
7000	7154
8000	7162
9000	7168
10000	7168
11000	7178
12000	7133
13000	7174
14000	7180
15000	7179
16000	7183
17000	7168
18000	7156
19000	7150
20000	7079
21000	7152
22000	6854
23000	6880
24000	5667
25000	4599
26000	4022
27000	3805
28000	3208
29000	2911
30000	3834
31000	2818
32000	2662
33000	2549
34000	3231
35000	4990
36000	4674
