Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
4000	7197
5000	7194
6000	7186
7000	7188
8000	7189
9000	7185
10000	7174
11000	7176
12000	7168
13000	7155
14000	7189
15000	7126
16000	7193
17000	7138
18000	7118
19000	7117
20000	6920
21000	7036
22000	6180
23000	5484
24000	5273
25000	5873
26000	4766
Numero di step eseguiti = 26490
Simulation 78
0	7191
Numero di step eseguiti = 354
Simulation 79
0	7187
Numero di step eseguiti = 185
Simulation 80
0	7190
1000	7193
2000	7195
3000	7196
4000	7194
Numero di step eseguiti = 4457
Simulation 81
0	7195
1000	7196
2000	7194
3000	7191
4000	7187
5000	7193
6000	7191
7000	7189
8000	7192
9000	7192
10000	7183
11000	7191
12000	7178
13000	7196
Numero di step eseguiti = 13373
Simulation 82
0	7190
1000	7196
Numero di step eseguiti = 1789
Simulation 83
0	7191
1000	7190
2000	7189
3000	7192
4000	7186
5000	7187
6000	7177
7000	7188
8000	7187
9000	7188
10000	7192
11000	7189
12000	7196
13000	7197
14000	7185
15000	7189
16000	7194
17000	7188
18000	7195
19000	7180
20000	7069
21000	7042
22000	7175
23000	7180
24000	6683
25000	6812
26000	6198
27000	5936
28000	5959
29000	6407
30000	5184
Numero di step eseguiti = 30714
Simulation 84
0	7187
1000	7192
2000	7193
3000	7191
4000	7189
5000	7183
6000	7193
7000	7189
8000	7190
9000	7185
10000	7185
11000	7183
12000	7177
13000	7162
14000	7166
15000	7174
16000	7167
17000	7165
18000	7178
19000	7164
20000	7167
21000	7162
22000	7178
23000	6914
24000	6917
25000	6600
26000	6145
27000	5954
28000	5392
29000	5004
30000	4795
31000	4206
32000	4014
33000	3376
34000	3271
35000	4649
Numero di step eseguiti = 35159
Simulation 85
0	7188
Numero di step eseguiti = 169
Simulation 86
0	7189
Numero di step eseguiti = 256
Simulation 87
0	7190
1000	7195
2000	7194
3000	7191
4000	7192
5000	7195
6000	7181
7000	7194
8000	7189
9000	7193
10000	7193
11000	7194
12000	7190
13000	7193
14000	7171
15000	7147
16000	7179
17000	7192
18000	7117
19000	7147
20000	7182
21000	7062
22000	6773
23000	6741
24000	6577
25000	6001
26000	5915
27000	5835
28000	5530
29000	5184
30000	4862
31000	4468
32000	4330
33000	3623
34000	3592
35000	4103
Numero di step eseguiti = 35285
Simulation 88
0	7190
Numero di step eseguiti = 395
Simulation 89
0	7179
Numero di step eseguiti = 900
Simulation 90
0	7190
1000	7197
Numero di step eseguiti = 1790
Simulation 91
0	7192
1000	7197
2000	7190
3000	7196
4000	7188
5000	7185
6000	7187
7000	7185
8000	7185
9000	7183
10000	7189
11000	7187
12000	7159
13000	7184
14000	7190
15000	7192
16000	7030
17000	6956
18000	7051
19000	6880
20000	6794
21000	6652
22000	6362
23000	5716
24000	5235
25000	4864
26000	4727
27000	5447
28000	4365
29000	5047
Numero di step eseguiti = 29844
Simulation 92
0	7185
Numero di step eseguiti = 433
Simulation 93
0	7192
1000	7198
2000	7194
3000	7195
4000	7186
5000	7197
6000	7184
7000	7194
8000	7193
9000	7196
10000	7188
11000	7196
12000	7186
13000	7191
14000	7191
15000	7183
16000	7176
17000	7177
18000	7187
19000	7185
20000	7178
21000	7182
22000	7073
23000	7184
24000	6815
25000	6630
26000	6627
27000	6344
28000	6101
29000	7016
Numero di step eseguiti = 29355
Simulation 94
0	7183
1000	7193
2000	7194
3000	7193
4000	7192
5000	7191
6000	7188
7000	7187
8000	7185
9000	7186
10000	7186
11000	7181
12000	7170
13000	7176
14000	7177
15000	7158
16000	7183
17000	7195
18000	7184
19000	7178
20000	7175
21000	7099
22000	7180
23000	7150
24000	6806
25000	6512
26000	6270
27000	6029
28000	5657
29000	5285
30000	4552
31000	4360
32000	3775
33000	3622
34000	3425
35000	2974
36000	2820
37000	3263
38000	4444
Numero di step eseguiti = 38387
Simulation 95
0	7184
1000	7190
2000	7189
3000	7192
4000	7185
5000	7180
6000	7169
7000	7180
8000	7177
9000	7190
10000	7183
11000	7180
12000	7171
13000	7192
14000	7192
15000	7182
16000	7185
17000	7160
18000	7186
19000	7191
20000	7173
21000	7158
22000	7031
23000	6824
24000	6809
25000	6585
26000	6061
27000	6173
28000	4968
29000	4579
30000	4209
31000	4000
32000	4037
33000	3531
34000	3836
Numero di step eseguiti = 34749
Simulation 96
0	7190
Numero di step eseguiti = 86
Simulation 97
0	7186
Numero di step eseguiti = 969
Simulation 98
0	7189
1000	7192
2000	7198
3000	7192
4000	7191
5000	7193
6000	7190
7000	7193
8000	7188
9000	7195
10000	7193
11000	7189
12000	7191
13000	7198
14000	7194
15000	7180
16000	7186
17000	7148
18000	7068
19000	7175
20000	7193
21000	7184
Numero di step eseguiti = 21105
Simulation 99
0	7186
1000	7195
2000	7190
3000	7191
4000	7194
5000	7189
6000	7193
7000	7190
8000	7192
9000	7192
10000	7175
11000	7182
12000	7198
13000	7194
14000	7197
15000	7176
16000	7181
Numero di step eseguiti = 16548
Simulation 100
0	7188
Numero di step eseguiti = 944
pos_features = 2500
Simulation 1
0	7189
Numero di step eseguiti = 201
Simulation 2
0	7188
1000	7195
2000	7197
Numero di step eseguiti = 2160
Simulation 3
0	7195
Numero di step eseguiti = 267
Simulation 4
0	7194
Numero di step eseguiti = 263
Simulation 5
0	7189
Numero di step eseguiti = 62
Simulation 6
0	7186
Numero di step eseguiti = 130
Simulation 7
0	7197
Numero di step eseguiti = 146
Simulation 8
0	7190
1000	7194
Numero di step eseguiti = 1692
Simulation 9
0	7187
Numero di step eseguiti = 200
Simulation 10
0	7190
Numero di step eseguiti = 718
Simulation 11
0	7194
1000	7195
2000	7194
3000	7190
4000	7188
5000	7192
6000	7191
7000	7187
8000	7182
9000	7169
10000	7170
11000	7168
12000	7177
13000	7188
14000	7183
15000	7176
16000	7155
17000	7144
18000	7171
19000	7066
20000	7101
21000	6993
22000	7027
23000	7073
24000	7079
25000	7155
26000	6530
27000	5683
28000	5123
29000	4952
30000	4666
31000	4478
32000	4421
33000	3806
34000	3545
35000	3522
36000	3385
37000	3328
38000	4654
Numero di step eseguiti = 38321
Simulation 12
0	7190
1000	7193
2000	7188
3000	7194
4000	7196
5000	7188
6000	7192
7000	7185
8000	7176
9000	7185
10000	7188
11000	7189
12000	7187
13000	7186
14000	7174
15000	7129
16000	7179
17000	7185
18000	7147
19000	7049
20000	6576
21000	6384
22000	6452
23000	7182
24000	5838
25000	5669
26000	5399
27000	5170
28000	4774
29000	5062
30000	4491
31000	4293
32000	5048
Numero di step eseguiti = 32169
Simulation 13
0	7194
Numero di step eseguiti = 480
Simulation 14
0	7192
1000	7194
2000	7196
3000	7190
4000	7193
5000	7195
6000	7192
7000	7187
8000	7185
9000	7194
Numero di step eseguiti = 9932
Simulation 15
0	7197
Numero di step eseguiti = 90
Simulation 16
0	7192
Numero di step eseguiti = 324
Simulation 17
0	7191
Numero di step eseguiti = 367
Simulation 18
0	7192
1000	7197
2000	7193
3000	7188
4000	7192
5000	7193
6000	7191
7000	7192
8000	7194
9000	7196
10000	7187
11000	7172
12000	7188
13000	7185
14000	7193
15000	7195
16000	7189
17000	7174
18000	7180
19000	7082
20000	7152
21000	7151
22000	7149
23000	7163
24000	7058
Numero di step eseguiti = 24143
Simulation 19
0	7190
Numero di step eseguiti = 52
Simulation 20
0	7188
1000	7195
2000	7185
3000	7191
4000	7196
5000	7191
6000	7190
7000	7190
8000	7187
9000	7185
10000	7188
11000	7187
12000	7192
13000	7187
14000	7194
15000	7183
16000	7191
17000	7170
18000	7114
19000	7080
20000	7129
21000	7014
22000	6914
23000	6697
24000	6132
25000	5095
26000	4589
Numero di step eseguiti = 26985
Simulation 21
0	7198
Numero di step eseguiti = 194
Simulation 22
0	7190
1000	7194
2000	7197
3000	7193
4000	7185
5000	7190
6000	7182
7000	7188
8000	7188
9000	7193
10000	7191
11000	7193
12000	7185
Numero di step eseguiti = 12321
Simulation 23
0	7190
Numero di step eseguiti = 430
Simulation 24
0	7198
1000	7198
Numero di step eseguiti = 1274
Simulation 25
0	7189
Numero di step eseguiti = 82
Simulation 26
0	7188
Numero di step eseguiti = 114
Simulation 27
0	7195
Numero di step eseguiti = 152
Simulation 28
0	7190
Numero di step eseguiti = 179
Simulation 29
0	7189
Numero di step eseguiti = 649
Simulation 30
0	7187
1000	7198
2000	7194
3000	7182
4000	7193
5000	7191
6000	7197
7000	7198
8000	7194
9000	7192
10000	7195
11000	7195
12000	7194
13000	7198
14000	7181
15000	7193
16000	7196
17000	7178
18000	7128
19000	7157
20000	7069
21000	7101
22000	6956
23000	6934
24000	6960
Numero di step eseguiti = 24581
Simulation 31
0	7194
Numero di step eseguiti = 945
Simulation 32
0	7195
Numero di step eseguiti = 243
Simulation 33
0	7190
1000	7196
2000	7192
3000	7195
4000	7195
5000	7193
6000	7193
7000	7187
8000	7193
9000	7191
10000	7192
11000	7175
12000	7183
13000	7194
14000	7161
15000	7133
16000	7163
17000	7182
18000	7118
19000	7012
20000	7018
21000	6954
22000	6815
23000	6403
24000	6213
25000	5823
26000	5221
27000	5145
28000	4816
29000	4459
30000	4248
31000	4207
32000	3688
33000	3413
34000	3270
35000	3638
Numero di step eseguiti = 35898
Simulation 34
0	7193
Numero di step eseguiti = 90
Simulation 35
0	7187
Numero di step eseguiti = 158
Simulation 36
0	7191
Numero di step eseguiti = 43
Simulation 37
0	7195
Numero di step eseguiti = 130
Simulation 38
0	7193
1000	7192
2000	7195
3000	7193
4000	7189
5000	7191
6000	7193
7000	7191
8000	7192
9000	7184
10000	7185
11000	7194
12000	7197
13000	7189
14000	7196
15000	7174
16000	7192
17000	7190
18000	7195
19000	7186
20000	7193
21000	7138
22000	7142
23000	7169
24000	7156
25000	7183
26000	7150
27000	6987
28000	7050
29000	6169
30000	5578
31000	5321
32000	5202
33000	4669
34000	4591
35000	4085
36000	6312
37000	7180
Numero di step eseguiti = 37017
Simulation 39
0	7193
Numero di step eseguiti = 167
Simulation 40
0	7192
Numero di step eseguiti = 864
Simulation 41
0	7191
1000	7196
2000	7195
3000	7183
4000	7193
5000	7194
6000	7195
7000	7191
8000	7189
9000	7193
10000	7190
11000	7188
12000	7187
13000	7192
Numero di step eseguiti = 13136
Simulation 42
0	7193
Numero di step eseguiti = 310
Simulation 43
0	7189
1000	7194
2000	7191
3000	7194
4000	7190
5000	7188
6000	7191
7000	7190
8000	7192
9000	7191
10000	7185
11000	7188
12000	7176
13000	7170
14000	7149
15000	7180
16000	7193
17000	7172
18000	7168
Numero di step eseguiti = 18723
Simulation 44
0	7191
Numero di step eseguiti = 160
Simulation 45
0	7193
Numero di step eseguiti = 316
Simulation 46
0	7198
Numero di step eseguiti = 171
Simulation 47
0	7190
Numero di step eseguiti = 217
Simulation 48
0	7190
Numero di step eseguiti = 242
Simulation 49
0	7193
Numero di step eseguiti = 202
Simulation 50
0	7187
1000	7196
2000	7192
3000	7187
4000	7190
5000	7186
6000	7182
7000	7187
8000	7193
9000	7182
10000	7191
11000	7191
12000	7194
13000	7181
14000	7185
15000	7176
16000	7190
17000	7189
18000	7186
19000	7175
20000	7084
21000	7171
22000	6900
23000	6597
24000	6327
25000	6318
26000	5573
27000	5312
28000	4918
29000	4356
30000	4062
Numero di step eseguiti = 30625
Simulation 51
0	7186
Numero di step eseguiti = 635
Simulation 52
0	7193
Numero di step eseguiti = 414
Simulation 53
0	7192
Numero di step eseguiti = 193
Simulation 54
0	7185
Numero di step eseguiti = 100
Simulation 55
0	7190
Numero di step eseguiti = 348
Simulation 56
0	7188
1000	7195
Numero di step eseguiti = 1034
Simulation 57
0	7191
Numero di step eseguiti = 263
Simulation 58
0	7196
Numero di step eseguiti = 216
Simulation 59
0	7183
Numero di step eseguiti = 247
Simulation 60
0	7190
1000	7196
2000	7193
3000	7192
4000	7187
5000	7186
6000	7185
7000	7191
8000	7191
9000	7182
10000	7185
11000	7190
12000	7190
13000	7186
14000	7188
15000	7174
16000	7188
17000	7192
18000	7167
19000	7193
20000	7108
21000	7127
22000	7133
23000	7187
24000	7181
25000	7022
26000	6841
27000	6800
28000	5936
29000	5315
30000	5001
31000	4813
32000	5222
33000	4925
Numero di step eseguiti = 33548
Simulation 61
0	7187
Numero di step eseguiti = 188
Simulation 62
0	7193
Numero di step eseguiti = 151
Simulation 63
0	7189
Numero di step eseguiti = 139
Simulation 64
0	7192
Numero di step eseguiti = 382
Simulation 65
0	7192
1000	7192
2000	7188
3000	7189
4000	7191
5000	7182
6000	7186
7000	7181
8000	7192
9000	7186
10000	7196
11000	7191
12000	7196
13000	7179
14000	7183
15000	7194
16000	7192
17000	7167
18000	7091
19000	7176
20000	7180
21000	7175
22000	7131
23000	7017
24000	6846
25000	6649
26000	6193
27000	5625
28000	5434
29000	5214
30000	4479
31000	4213
32000	4252
33000	3584
34000	3729
35000	4848
Numero di step eseguiti = 35297
Simulation 66
0	7192
Numero di step eseguiti = 68
Simulation 67
0	7195
Numero di step eseguiti = 228
Simulation 68
0	7188
Numero di step eseguiti = 104
Simulation 69
0	7191
Numero di step eseguiti = 219
Simulation 70
0	7184
Numero di step eseguiti = 838
Simulation 71
0	7193
Numero di step eseguiti = 300
Simulation 72
0	7190
Numero di step eseguiti = 189
Simulation 73
0	7191
Numero di step eseguiti = 967
Simulation 74
0	7190
1000	7188
2000	7192
3000	7194
4000	7190
5000	7187
6000	7194
7000	7195
8000	7197
9000	7187
10000	7185
11000	7193
12000	7168
13000	7179
14000	7198
Numero di step eseguiti = 14063
Simulation 75
0	7193
Numero di step eseguiti = 982
Simulation 76
0	7188
Numero di step eseguiti = 109
Simulation 77
0	7195
Numero di step eseguiti = 180
Simulation 78
0	7188
1000	7198
2000	7193
3000	7191
4000	7191
5000	7179
6000	7189
7000	7189
8000	7189
9000	7182
10000	7174
11000	7183
12000	7192
13000	7190
14000	7189
15000	7174
16000	7098
17000	7044
18000	6998
19000	7033
20000	6994
21000	6601
22000	6280
23000	6260
24000	5924
25000	5691
26000	5743
27000	5062
28000	6245
Numero di step eseguiti = 28921
Simulation 79
0	7193
Numero di step eseguiti = 403
Simulation 80
0	7189
Numero di step eseguiti = 80
Simulation 81
0	7195
1000	7192
2000	7196
3000	7196
4000	7195
5000	7193
6000	7193
7000	7192
8000	7187
9000	7187
10000	7184
11000	7194
12000	7188
13000	7185
14000	7183
15000	7189
16000	7142
17000	7167
18000	7187
19000	7166
20000	7164
21000	6955
22000	6942
23000	6719
24000	6378
25000	6117
26000	5529
27000	5014
28000	4906
29000	4397
30000	4225
31000	3688
32000	3411
33000	3520
34000	3183
35000	3038
36000	2882
37000	2761
38000	2752
39000	2595
40000	2592
41000	2565
42000	2507
43000	3106
Numero di step eseguiti = 43504
Simulation 82
0	7196
Numero di step eseguiti = 181
Simulation 83
0	7193
Numero di step eseguiti = 864
Simulation 84
0	7190
Numero di step eseguiti = 293
Simulation 85
0	7189
Numero di step eseguiti = 209
Simulation 86
0	7193
Numero di step eseguiti = 181
Simulation 87
0	7192
1000	7195
2000	7198
Numero di step eseguiti = 2948
Simulation 88
0	7188
Numero di step eseguiti = 317
Simulation 89
0	7188
Numero di step eseguiti = 352
Simulation 90
0	7195
Numero di step eseguiti = 53
Simulation 91
0	7190
Numero di step eseguiti = 335
Simulation 92
0	7192
Numero di step eseguiti = 279
Simulation 93
0	7190
1000	7198
2000	7195
3000	7194
4000	7195
5000	7191
6000	7178
7000	7185
8000	7176
9000	7188
10000	7184
11000	7180
12000	7170
13000	7172
14000	7182
15000	7183
16000	7175
17000	7186
18000	7168
19000	7195
20000	7155
21000	7102
22000	7195
23000	6938
24000	6721
25000	6382
26000	6037
27000	5831
28000	5396
29000	4961
30000	4786
31000	4451
32000	3944
33000	3772
34000	3211
35000	4146
Numero di step eseguiti = 35844
Simulation 94
0	7194
Numero di step eseguiti = 317
Simulation 95
0	7187
Numero di step eseguiti = 321
Simulation 96
0	7187
Numero di step eseguiti = 190
Simulation 97
0	7184
1000	7185
2000	7195
3000	7197
4000	7185
5000	7188
6000	7185
7000	7195
8000	7193
9000	7192
10000	7184
11000	7189
12000	7182
13000	7185
14000	7182
15000	7195
16000	7190
17000	7194
18000	7183
19000	7168
20000	7177
21000	7176
22000	6999
23000	7007
24000	6967
25000	7186
26000	6707
27000	7148
28000	6358
29000	6313
30000	5576
31000	5188
32000	5005
33000	4906
34000	6590
Numero di step eseguiti = 34201
Simulation 98
0	7190
1000	7193
2000	7190
3000	7190
4000	7192
5000	7197
6000	7193
7000	7184
8000	7186
9000	7181
10000	7187
11000	7187
12000	7184
13000	7186
14000	7180
15000	7189
16000	7171
17000	7121
18000	7086
19000	7083
20000	7016
21000	6956
22000	6758
23000	6431
24000	5646
25000	5381
26000	5352
27000	5071
28000	4777
29000	4242
30000	3932
31000	3919
32000	3488
33000	3329
34000	3200
35000	4885
Numero di step eseguiti = 35537
Simulation 99
0	7188
Numero di step eseguiti = 417
Simulation 100
0	7186
Numero di step eseguiti = 135
pos_features = 3000
Simulation 1
0	7191
Numero di step eseguiti = 344
Simulation 2
0	7191
Numero di step eseguiti = 331
Simulation 3
0	7195
Numero di step eseguiti = 155
Simulation 4
0	7195
Numero di step eseguiti = 165
Simulation 5
0	7194
Numero di step eseguiti = 213
Simulation 6
0	7193
Numero di step eseguiti = 209
Simulation 7
0	7190
Numero di step eseguiti = 64
Simulation 8
0	7193
Numero di step eseguiti = 102
Simulation 9
0	7195
Numero di step eseguiti = 294
Simulation 10
0	7199
1000	7193
2000	7196
3000	7195
4000	7191
5000	7197
6000	7193
Numero di step eseguiti = 6992
Simulation 11
0	7196
Numero di step eseguiti = 90
Simulation 12
0	7195
Numero di step eseguiti = 116
Simulation 13
0	7189
Numero di step eseguiti = 348
Simulation 14
0	7190
Numero di step eseguiti = 270
Simulation 15
0	7194
Numero di step eseguiti = 702
Simulation 16
0	7195
Numero di step eseguiti = 507
Simulation 17
0	7197
Numero di step eseguiti = 596
Simulation 18
0	7195
Numero di step eseguiti = 43
Simulation 19
0	7192
Numero di step eseguiti = 153
Simulation 20
0	7193
1000	7194
2000	7195
3000	7189
4000	7193
5000	7189
6000	7186
7000	7194
8000	7191
9000	7191
10000	7196
11000	7195
12000	7187
13000	7189
14000	7192
15000	7193
16000	7145
17000	7185
18000	7182
19000	7186
20000	7173
21000	7178
22000	7105
23000	7126
24000	7061
25000	6586
26000	5951
27000	5679
28000	5281
29000	4726
30000	4614
31000	4188
32000	3917
33000	3773
34000	3731
35000	3441
36000	3422
37000	3347
38000	3174
39000	5445
Numero di step eseguiti = 39100
Simulation 21
0	7190
1000	7188
2000	7189
3000	7192
4000	7196
5000	7186
6000	7192
7000	7193
8000	7184
9000	7193
10000	7184
11000	7180
12000	7193
13000	7194
14000	7196
15000	7190
16000	7196
17000	7153
18000	7192
19000	7190
20000	7177
21000	7156
22000	7015
23000	6977
24000	6208
25000	5881
26000	5167
27000	4796
28000	4427
29000	4353
30000	3798
31000	4417
Numero di step eseguiti = 31956
Simulation 22
0	7197
Numero di step eseguiti = 94
Simulation 23
0	7196
1000	7192
2000	7192
3000	7191
4000	7189
5000	7194
6000	7185
7000	7189
8000	7187
9000	7182
10000	7182
11000	7183
12000	7190
13000	7195
14000	7166
15000	7198
Numero di step eseguiti = 15967
Simulation 24
0	7184
Numero di step eseguiti = 317
Simulation 25
0	7192
Numero di step eseguiti = 112
Simulation 26
0	7193
Numero di step eseguiti = 345
Simulation 27
0	7196
Numero di step eseguiti = 86
Simulation 28
0	7188
Numero di step eseguiti = 127
Simulation 29
0	7194
Numero di step eseguiti = 71
Simulation 30
0	7186
Numero di step eseguiti = 123
Simulation 31
0	7194
Numero di step eseguiti = 42
Simulation 32
0	7193
Numero di step eseguiti = 841
Simulation 33
0	7189
1000	7196
2000	7189
3000	7190
4000	7190
5000	7187
6000	7188
7000	7195
8000	7190
9000	7193
10000	7191
11000	7187
12000	7194
13000	7170
14000	7189
15000	7181
16000	7183
17000	7191
18000	7159
19000	7157
20000	7179
21000	7192
22000	7183
23000	7068
24000	6969
25000	6989
26000	6136
27000	5888
28000	5407
29000	5173
30000	4262
31000	4171
32000	3913
33000	3740
34000	3953
Numero di step eseguiti = 34424
Simulation 34
0	7198
Numero di step eseguiti = 19
Simulation 35
0	7193
Numero di step eseguiti = 280
Simulation 36
0	7193
Numero di step eseguiti = 740
Simulation 37
0	7194
Numero di step eseguiti = 537
Simulation 38
0	7197
1000	7198
2000	7194
3000	7193
4000	7193
5000	7187
6000	7190
7000	7193
8000	7191
9000	7187
10000	7182
11000	7195
12000	7184
13000	7192
14000	7182
15000	7189
16000	7151
17000	7182
18000	7189
19000	7171
20000	7184
21000	7167
22000	7160
23000	7018
24000	7182
25000	6671
26000	6091
27000	5739
28000	5440
29000	5018
30000	4978
31000	4457
32000	4296
33000	4261
34000	6829
Numero di step eseguiti = 34024
Simulation 39
0	7194
Numero di step eseguiti = 193
Simulation 40
0	7198
Numero di step eseguiti = 98
Simulation 41
0	7192
Numero di step eseguiti = 401
Simulation 42
0	7193
Numero di step eseguiti = 90
Simulation 43
0	7197
Numero di step eseguiti = 65
Simulation 44
0	7191
Numero di step eseguiti = 126
Simulation 45
0	7197
Numero di step eseguiti = 144
Simulation 46
0	7193
Numero di step eseguiti = 691
Simulation 47
0	7199
Numero di step eseguiti = 71
Simulation 48
0	7191
Numero di step eseguiti = 177
Simulation 49
0	7191
Numero di step eseguiti = 517
Simulation 50
0	7194
1000	7197
2000	7196
3000	7195
4000	7197
5000	7194
6000	7193
7000	7195
8000	7195
9000	7187
10000	7183
11000	7187
12000	7184
13000	7184
14000	7191
15000	7184
16000	7186
17000	7183
18000	7129
19000	7098
20000	7189
21000	7066
22000	7177
23000	7068
24000	7099
25000	6968
26000	7011
27000	6898
28000	6686
29000	6100
30000	5740
31000	4941
32000	4753
33000	4228
34000	4099
35000	4447
36000	3697
37000	3317
38000	3291
39000	2987
40000	3130
41000	3689
42000	2709
43000	3939
44000	3680
45000	4938
Numero di step eseguiti = 45611
Simulation 51
0	7195
Numero di step eseguiti = 291
Simulation 52
0	7193
Numero di step eseguiti = 138
Simulation 53
0	7191
Numero di step eseguiti = 271
Simulation 54
0	7192
Numero di step eseguiti = 225
Simulation 55
0	7197
Numero di step eseguiti = 72
Simulation 56
0	7194
Numero di step eseguiti = 457
Simulation 57
0	7194
1000	7195
2000	7195
3000	7189
4000	7194
5000	7189
6000	7194
7000	7193
8000	7187
9000	7187
10000	7186
11000	7175
12000	7186
13000	7162
14000	7179
Numero di step eseguiti = 14527
Simulation 58
0	7194
Numero di step eseguiti = 461
Simulation 59
0	7191
Numero di step eseguiti = 95
Simulation 60
0	7197
Numero di step eseguiti = 419
Simulation 61
0	7192
Numero di step eseguiti = 158
Simulation 62
0	7184
1000	7195
Numero di step eseguiti = 1191
Simulation 63
0	7190
Numero di step eseguiti = 406
Simulation 64
0	7193
Numero di step eseguiti = 107
Simulation 65
0	7194
Numero di step eseguiti = 193
Simulation 66
0	7197
Numero di step eseguiti = 46
Simulation 67
0	7197
Numero di step eseguiti = 389
Simulation 68
0	7195
Numero di step eseguiti = 323
Simulation 69
0	7194
Numero di step eseguiti = 82
Simulation 70
0	7193
Numero di step eseguiti = 147
Simulation 71
0	7194
Numero di step eseguiti = 427
Simulation 72
0	7195
Numero di step eseguiti = 192
Simulation 73
0	7193
Numero di step eseguiti = 508
Simulation 74
0	7189
Numero di step eseguiti = 657
Simulation 75
0	7192
1000	7194
2000	7199
3000	7191
4000	7196
5000	7191
6000	7191
7000	7193
Numero di step eseguiti = 7975
Simulation 76
0	7194
Numero di step eseguiti = 239
Simulation 77
0	7187
Numero di step eseguiti = 266
Simulation 78
0	7194
Numero di step eseguiti = 218
Simulation 79
0	7191
Numero di step eseguiti = 140
Simulation 80
0	7187
Numero di step eseguiti = 244
Simulation 81
0	7191
Numero di step eseguiti = 224
Simulation 82
0	7195
Numero di step eseguiti = 111
Simulation 83
0	7195
Numero di step eseguiti = 408
Simulation 84
0	7198
Numero di step eseguiti = 209
Simulation 85
0	7194
Numero di step eseguiti = 358
Simulation 86
0	7192
Numero di step eseguiti = 312
Simulation 87
0	7196
1000	7195
2000	7197
3000	7192
4000	7183
5000	7182
6000	7187
7000	7184
8000	7191
9000	7186
10000	7188
11000	7183
12000	7189
13000	7167
14000	7178
15000	7193
16000	7140
17000	7112
18000	7073
19000	7084
20000	7162
21000	6760
22000	6704
23000	5827
24000	5820
25000	5296
26000	4899
27000	4429
28000	4211
29000	4163
30000	3759
31000	3514
32000	3414
33000	3097
34000	2484
35000	3142
36000	6075
Numero di step eseguiti = 36725
Simulation 88
0	7194
1000	7195
2000	7191
3000	7193
4000	7196
5000	7184
6000	7188
7000	7191
8000	7189
9000	7189
10000	7189
11000	7191
12000	7184
13000	7188
14000	7188
15000	7184
16000	7195
Numero di step eseguiti = 16012
Simulation 89
0	7194
Numero di step eseguiti = 88
Simulation 90
0	7192
1000	7194
2000	7195
3000	7194
4000	7193
5000	7193
6000	7196
7000	7193
8000	7186
9000	7196
10000	7196
11000	7191
12000	7186
13000	7191
14000	7195
15000	7184
16000	7182
17000	7191
18000	7194
19000	7180
20000	7175
21000	7158
22000	7170
23000	7127
24000	6974
25000	7185
26000	6463
27000	6206
28000	5759
29000	5565
30000	4802
31000	4810
32000	4393
33000	4050
34000	3468
35000	3372
36000	3283
37000	3517
38000	3990
39000	6940
Numero di step eseguiti = 39051
Simulation 91
0	7194
Numero di step eseguiti = 485
Simulation 92
0	7191
1000	7195
2000	7195
3000	7194
4000	7197
5000	7194
6000	7192
7000	7195
8000	7191
9000	7188
10000	7187
11000	7193
12000	7183
13000	7179
14000	7189
15000	7181
16000	7178
17000	7187
18000	7165
19000	7173
20000	7097
21000	7095
22000	6922
23000	6367
24000	6315
25000	5274
26000	5012
27000	4576
28000	4578
29000	4235
30000	4132
31000	4073
32000	3712
Numero di step eseguiti = 32899
Simulation 93
0	7189
Numero di step eseguiti = 118
Simulation 94
0	7194
1000	7197
Numero di step eseguiti = 1102
Simulation 95
0	7193
1000	7197
2000	7194
3000	7191
4000	7195
5000	7189
6000	7195
7000	7192
8000	7194
9000	7194
10000	7184
11000	7174
12000	7183
13000	7190
14000	7182
15000	7109
16000	7173
17000	7118
Numero di step eseguiti = 17957
Simulation 96
0	7194
Numero di step eseguiti = 421
Simulation 97
0	7192
1000	7198
2000	7191
3000	7196
4000	7189
5000	7189
6000	7192
7000	7192
8000	7195
9000	7194
10000	7193
Numero di step eseguiti = 10176
Simulation 98
0	7195
Numero di step eseguiti = 84
Simulation 99
0	7190
1000	7196
2000	7196
Numero di step eseguiti = 2178
Simulation 100
0	7193
Numero di step eseguiti = 204
pos_features = 3500
Simulation 1
0	7195
Numero di step eseguiti = 132
Simulation 2
0	7193
Numero di step eseguiti = 180
Simulation 3
0	7193
Numero di step eseguiti = 373
Simulation 4
0	7196
Numero di step eseguiti = 56
Simulation 5
0	7195
Numero di step eseguiti = 60
Simulation 6
0	7195
Numero di step eseguiti = 243
Simulation 7
0	7193
Numero di step eseguiti = 262
Simulation 8
0	7191
Numero di step eseguiti = 823
Simulation 9
0	7190
Numero di step eseguiti = 71
Simulation 10
0	7194
Numero di step eseguiti = 123
Simulation 11
0	7199
Numero di step eseguiti = 25
Simulation 12
0	7192
Numero di step eseguiti = 281
Simulation 13
0	7194
Numero di step eseguiti = 729
Simulation 14
0	7193
1000	7197
Numero di step eseguiti = 1180
Simulation 15
0	7192
Numero di step eseguiti = 173
Simulation 16
0	7192
1000	7195
2000	7191
3000	7194
4000	7188
5000	7190
6000	7186
7000	7185
8000	7188
9000	7188
10000	7187
11000	7163
12000	7180
